죄종별,기간별,항목,단위,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
절도범,24시간이내,범죄,건,9932,9352,8108,5483,5146,5666,6712,8041,8102,7172,16936,16687,12132,14832,378,8090,492,518,336,328,18395
절도범,2일이내,범죄,건,7132,6581,5796,4246,4441,5103,5823,6731,6461,5871,12193,11378,8571,9619,373,7041,456,528,326,340,14250
절도범,5일이내,범죄,건,7756,7067,6447,5238,5992,6630,7581,8826,9075,8048,15045,14806,12422,13345,625,9954,638,769,512,586,17677
절도범,10일이내,범죄,건,4251,4233,4073,3559,4247,4403,4686,5287,5718,5134,9140,9810,9331,9633,563,6071,540,584,381,457,12335
절도범,1개월이내,범죄,건,5807,6588,6074,5750,6118,5646,5757,6368,7628,8087,11917,13548,17446,16901,693,7592,878,999,736,933,19869
절도범,3개월이내,범죄,건,4358,5084,5910,4784,4955,4227,4131,4586,6171,7875,10388,12850,20632,17466,757,7926,748,1021,984,1174,20555
절도범,3개월초과,범죄,건,10980,11525,9750,8816,6274,4396,4436,5324,7096,10281,13038,17281,35508,33993,149988,120499,186641,205410,217895,250606,93470
폭력범,계,범죄,건,176829,171817,165556,182041,193047,186490,194891,200675,226409,282274,333630,338045,283930,294893,286464,285363,281969,295156,305508,315747,292347
폭력범,1시간이내,범죄,건,59975,60931,63291,70895,79426,82565,88359,95295,116247,150959,186610,194236,167116,172402,5123,16540,4747,4256,3709,2685,69577
폭력범,2시간이내,범죄,건,6916,6165,5576,5561,5728,5159,4800,4404,5267,6876,7937,8462,6836,6971,984,8458,931,1276,1175,1021,15629
폭력범,5시간이내,범죄,건,6451,5504,5226,5389,7707,6593,6126,5495,6575,9348,10049,8770,7102,7163,739,7285,808,814,832,621,15635
폭력범,12시간이내,범죄,건,7921,7197,7148,7608,8259,7176,7105,6422,6639,8415,11485,10704,7929,7891,476,5338,460,548,431,321,11525
폭력범,24시간이내,범죄,건,20641,18644,18839,17819,16259,12126,11827,11007,11641,14292,17122,16224,13040,12783,359,4598,447,458,358,307,9480
폭력범,2일이내,범죄,건,15773,14206,12347,12925,13479,11880,12367,11027,11827,14006,15762,14382,11221,11211,537,5536,556,636,449,385,9463
폭력범,5일이내,범죄,건,18680,17565,15518,16766,20612,19017,19822,18794,19908,22245,24547,23386,18823,19096,982,10565,984,915,710,590,16624
폭력범,10일이내,범죄,건,9274,8986,8434,9934,12326,11929,13274,12986,13010,15183,17019,16391,13230,13938,803,7978,668,703,578,459,13786
폭력범,1개월이내,범죄,건,11342,10528,9723,11533,12816,13080,13656,14961,14594,16924,18830,17755,15712,17546,960,10249,905,868,810,666,19445
폭력범,3개월이내,범죄,건,7640,7395,7626,8664,8011,8570,8982,10229,10234,11608,11550,11872,10598,12350,722,7433,635,587,569,506,14733
폭력범,3개월초과,범죄,건,12216,14696,11828,14947,8424,8395,8573,10055,10467,12418,12719,15863,12323,13542,274779,201383,270828,284095,295887,308186,96450
"폭력,상해",계,범죄,건,23407,23376,22947,25498,,,,,,,,,,,,,,,,,
"폭력,상해",1시간이내,범죄,건,5987,6090,6546,7750,,,,,,,,,,,,,,,,,
"폭력,상해",2시간이내,범죄,건,858,730,667,749,,,,,,,,,,,,,,,,,
"폭력,상해",5시간이내,범죄,건,955,890,933,953,,,,,,,,,,,,,,,,,
"폭력,상해",12시간이내,범죄,건,958,945,942,980,,,,,,,,,,,,,,,,,
"폭력,상해",24시간이내,범죄,건,2729,2451,2654,2624,,,,,,,,,,,,,,,,,
"폭력,상해",2일이내,범죄,건,2432,2245,1974,2162,,,,,,,,,,,,,,,,,
"폭력,상해",5일이내,범죄,건,3187,3005,2757,3017,,,,,,,,,,,,,,,,,
"폭력,상해",10일이내,범죄,건,1784,1701,1597,1861,,,,,,,,,,,,,,,,,
"폭력,상해",1개월이내,범죄,건,2145,2132,2030,2220,,,,,,,,,,,,,,,,,
"폭력,상해",3개월이내,범죄,건,1190,1367,1341,1380,,,,,,,,,,,,,,,,,
"폭력,상해",3개월초과,범죄,건,1182,1820,1506,1802,,,,,,,,,,,,,,,,,
존속폭행·상해,계,범죄,건,1005,951,918,961,,,,,,,,,,,,,,,,,
존속폭행·상해,1시간이내,범죄,건,147,140,129,166,,,,,,,,,,,,,,,,,
존속폭행·상해,2시간이내,범죄,건,27,23,21,15,,,,,,,,,,,,,,,,,
존속폭행·상해,5시간이내,범죄,건,21,16,19,18,,,,,,,,,,,,,,,,,
존속폭행·상해,12시간이내,범죄,건,33,40,27,21,,,,,,,,,,,,,,,,,
존속폭행·상해,24시간이내,범죄,건,127,98,101,105,,,,,,,,,,,,,,,,,
존속폭행·상해,2일이내,범죄,건,126,93,90,91,,,,,,,,,,,,,,,,,
존속폭행·상해,5일이내,범죄,건,123,110,106,104,,,,,,,,,,,,,,,,,
존속폭행·상해,10일이내,범죄,건,70,64,69,62,,,,,,,,,,,,,,,,,
존속폭행·상해,1개월이내,범죄,건,118,119,127,119,,,,,,,,,,,,,,,,,
존속폭행·상해,3개월이내,범죄,건,83,92,91,103,,,,,,,,,,,,,,,,,
존속폭행·상해,3개월초과,범죄,건,130,156,138,157,,,,,,,,,,,,,,,,,
체포·감금,계,범죄,건,137,132,117,163,,,,,,,,,,,,,,,,,
체포·감금,1시간이내,범죄,건,11,12,6,9,,,,,,,,,,,,,,,,,
체포·감금,2시간이내,범죄,건,3,4,3,3,,,,,,,,,,,,,,,,,
체포·감금,5시간이내,범죄,건,8,,1,5,,,,,,,,,,,,,,,,,
체포·감금,12시간이내,범죄,건,3,4,,4,,,,,,,,,,,,,,,,,
체포·감금,24시간이내,범죄,건,14,17,11,15,,,,,,,,,,,,,,,,,
체포·감금,2일이내,범죄,건,13,8,9,10,,,,,,,,,,,,,,,,,
체포·감금,5일이내,범죄,건,12,15,11,15,,,,,,,,,,,,,,,,,
체포·감금,10일이내,범죄,건,10,13,14,11,,,,,,,,,,,,,,,,,
체포·감금,1개월이내,범죄,건,20,23,14,23,,,,,,,,,,,,,,,,,
체포·감금,3개월이내,범죄,건,16,13,19,22,,,,,,,,,,,,,,,,,
체포·감금,3개월초과,범죄,건,27,23,29,46,,,,,,,,,,,,,,,,,
미성년자약취·유인,계,범죄,건,162,132,104,127,,,,,,,,,,,,,,,,,
미성년자약취·유인,1시간이내,범죄,건,25,26,13,16,,,,,,,,,,,,,,,,,
미성년자약취·유인,2시간이내,범죄,건,3,7,,3,,,,,,,,,,,,,,,,,
미성년자약취·유인,5시간이내,범죄,건,8,1,5,5,,,,,,,,,,,,,,,,,
미성년자약취·유인,12시간이내,범죄,건,5,5,5,3,,,,,,,,,,,,,,,,,
미성년자약취·유인,24시간이내,범죄,건,15,8,14,11,,,,,,,,,,,,,,,,,
미성년자약취·유인,2일이내,범죄,건,14,9,9,10,,,,,,,,,,,,,,,,,
미성년자약취·유인,5일이내,범죄,건,10,11,12,14,,,,,,,,,,,,,,,,,
미성년자약취·유인,10일이내,범죄,건,11,5,7,11,,,,,,,,,,,,,,,,,
미성년자약취·유인,1개월이내,범죄,건,23,26,13,17,,,,,,,,,,,,,,,,,
미성년자약취·유인,3개월이내,범죄,건,19,8,8,16,,,,,,,,,,,,,,,,,
미성년자약취·유인,3개월초과,범죄,건,29,26,18,21,,,,,,,,,,,,,,,,,
기타약취·유인,계,범죄,건,182,153,109,140,,,,,,,,,,,,,,,,,
기타약취·유인,1시간이내,범죄,건,18,13,17,17,,,,,,,,,,,,,,,,,
기타약취·유인,2시간이내,범죄,건,4,1,1,2,,,,,,,,,,,,,,,,,
기타약취·유인,5시간이내,범죄,건,6,1,1,1,,,,,,,,,,,,,,,,,
기타약취·유인,12시간이내,범죄,건,6,1,1,3,,,,,,,,,,,,,,,,,
기타약취·유인,24시간이내,범죄,건,11,10,9,4,,,,,,,,,,,,,,,,,
기타약취·유인,2일이내,범죄,건,9,7,8,8,,,,,,,,,,,,,,,,,
기타약취·유인,5일이내,범죄,건,9,6,8,12,,,,,,,,,,,,,,,,,
기타약취·유인,10일이내,범죄,건,16,11,4,7,,,,,,,,,,,,,,,,,
기타약취·유인,1개월이내,범죄,건,33,23,23,23,,,,,,,,,,,,,,,,,
